cnpj;dt_abertura;de_cnae_principal;de_ramo_atividade;de_setor;endereco_municipio;endereco_uf;endereco_regiao;situacao_cadastral;empresa_porte;optante_simples;optante_simei;nivel_atividade;saude_tributaria
38078484000164;2020-08-13;SERVICOS DE ARQUITETURA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
37060101000168;2020-05-04;SERVICOS AMBULANTES DE ALIMENTACAO;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;SUZANO;SP;SUDESTE;ATIVA;;;;;
33595347000183;2019-05-12;SERVICOS DE MALOTE NAO REALIZADOS PELO CORREIO NACIONAL;TRANSPORTE;SERVICOS;IPATINGA;MG;SUDESTE;ATIVA;;;;;
23152533000194;2015-08-26;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;PONTE NOVA;MG;SUDESTE;ATIVA;;;;;
08475561000159;2006-11-30;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;SACRAMENTO;MG;SUDESTE;ATIVA;;;;;
97031348000188;1993-10-19;COMERCIO A VAREJO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS USADOS;VAREJO;COMERCIO;PORTAO;RS;SUL;ATIVA;;;;;
46961435000446;2022-08-09;EXPLORACAO DE JOGOS ELETRONICOS RECREATIVOS;SERVICOS DIVERSOS;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
41287540000185;2021-03-19;EDICAO DE CADASTROS LISTAS E DE OUTROS PRODUTOS GRAFICOS;TELECOM;SERVICOS;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
36599804000104;2020-03-09;TREINAMENTO EM INFORMATICA;SERVICOS DE EDUCACAO;SERVICOS;RIO DE JANEIRO;RJ;SUDESTE;ATIVA;;;;;
19355856000108;2013-12-03;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;SERVICOS DE SAUDE;SERVICOS;TAUBATE;SP;SUDESTE;ATIVA;;;;;
13314934000140;2011-02-28;COMERCIO VAREJISTA DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;VAREJO;COMERCIO;CASTELO;ES;SUDESTE;ATIVA;;;;;
32613321000158;2019-01-30;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;DUQUE DE CAXIAS;RJ;SUDESTE;ATIVA;;;;;
34971607000130;2019-09-24;COMERCIO VAREJISTA DE HORTIFRUTIGRANJEIROS;VAREJO;COMERCIO;SUZANO;SP;SUDESTE;ATIVA;;;;;
44622138000106;2021-12-17;SERVICOS ADVOCATICIOS DISPENSADA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;UBERLANDIA;MG;SUDESTE;ATIVA;;;;;
36922224000106;2020-04-13;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;GOIANA;PE;NORDESTE;ATIVA;;;;;
27426879000194;2017-03-30;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
47618703000141;2022-08-18;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;SAO GONCALO;RJ;SUDESTE;ATIVA;;;;;
38652197000116;2020-09-22;OBRAS DE ALVENARIA;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;APORE;GO;CENTRO-OESTE;ATIVA;;;;;
43549598000185;2021-09-16;COMERCIO VAREJISTA DE BEBIDAS;VAREJO;COMERCIO;SAO PAULO;SP;SUDESTE;ATIVA;;;;;
22968046000131;2015-07-31;SERVICOS DE ENGENHARIA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;PETROLINA;PE;NORDESTE;ATIVA;;;;;
23257377000126;2015-09-11;COMERCIO VAREJISTA DE BEBIDAS;VAREJO;COMERCIO;SALVADOR;BA;NORDESTE;ATIVA;;;;;
34359391000157;2019-07-29;APLICACAO DE REVESTIMENTOS E DE RESINAS EM INTERIORES E EXTERIORES;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;BELO HORIZONTE;MG;SUDESTE;ATIVA;;;;;
48078088000190;2022-09-26;CABELEIREIROS MANICURE E PEDICURE;SERVICOS DIVERSOS;SERVICOS;ITUVERAVA;SP;SUDESTE;ATIVA;;;;;
48065492000120;2022-09-23;OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NAO ESPECIFICADAS ANTERIORMENTE;TRANSPORTE;SERVICOS;GARCA;SP;SUDESTE;ATIVA;;;;;
41227332000190;2021-03-16;LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;PINDAMONHANGABA;SP;SUDESTE;ATIVA;;;;;
22266335000199;2015-04-16;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;OSASCO;SP;SUDESTE;ATIVA;;;;;
25337572000191;2016-08-01;COMERCIO VAREJISTA DE OUTROS ARTIGOS DE USO PESSOAL E DOMESTICO NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;NATAL;RN;NORDESTE;ATIVA;;;;;
46842406000112;2022-06-20;EDICAO DE CADASTROS LISTAS E DE OUTROS PRODUTOS GRAFICOS;TELECOM;SERVICOS;QUEIMADOS;RJ;SUDESTE;ATIVA;MEI;;;;
01637895003239;2009-07-30;SERVICOS ESPECIALIZADOS PARA CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;MONGAGUA;SP;SUDESTE;ATIVA;;;;;
10868682000102;2008-10-30;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;SOROCABA;SP;SUDESTE;ATIVA;;;;;
